id,Покупательская_активность,Тип_сервиса,Разрешить_сообщать,Маркет_актив_6_мес,Маркет_актив_тек_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Неоплаченные_продукты_штук_квартал,Ошибка_сервиса,Страниц_за_визит,Выручка_позапрошлая,Выручка_прошлая,Выручка_текущая,Активность,"Время_прошлый,мин","Время_текущий,мин"
215686,Снизилась,стандарт,нет,4.3,4,460,0.16,Техника для красоты и здоровья,2,1,3,6,4822.0,4828.0,4952.8,Активен,13,9
215687,Снизилась,стандарт,да,3.9,4,627,0.24,Товары для детей,3,3,7,8,4460.0,5004.5,5606.4,Активен,17,12
215688,Снизилась,стандарт,да,5.5,4,703,0.14,Мелкая бытовая техника и электроника,2,1,3,7,4346.0,3428.0,4353.6,Активен,18,11
215689,Снизилась,стандарт,нет,5.0,4,136,0.27,Товары для детей,3,4,4,17,5230.0,4998.0,5329.5,Активен,11,18
215690,Снизилась,стандарт,да,4.8,4,907,0.3,Косметика и аксесуары,2,1,1,6,5241.0,5005.5,4931.4,Активен,13,14
215691,Снизилась,стандарт,нет,3.9,5,600,0.17,Домашний текстиль,1,7,4,10,5047.0,4606.0,4353.8,Активен,18,20
215692,Снизилась,стандарт,да,3.3,3,871,0.2,Техника для красоты и здоровья,2,4,2,17,4818.0,5439.0,6107.2,Активен,17,8
215693,Снизилась,стандарт,да,5.6,5,574,0.28,Домашний текстиль,3,2,3,9,4483.0,4502.0,4615.1,Активен,16,6
215694,Снизилась,премиум,да,5.5,5,982,0.94,Мелкая бытовая техника и электроника,3,1,8,10,5204.0,5118.5,5174.4,Активен,18,19
215695,Снизилась,стандарт,да,4.3,4,324,0.14,Техника для красоты и здоровья,2,7,4,4,5160.0,5314.0,5310.1,Активен,18,20
215696,Снизилась,премиум,да,3.4,3,384,0.98,Кухонная посуда,1,9,4,3,4779.0,5728.5,6457.8,Активен,16,11
215697,Снизилась,премиум,да,3.9,4,935,0.39,Техника для красоты и здоровья,3,2,6,4,4660.0,3688.0,3993.5,Активен,7,10
215698,Снизилась,стандарт,да,3.5,4,685,0.89,Техника для красоты и здоровья,2,9,3,3,4429.0,3441.0,3520.3,Активен,12,10
215699,Снизилась,стандарт,нет,4.1,3,811,0.93,Косметика и аксесуары,4,1,5,8,4518.0,4441.5,4194.5,Активен,12,14
215700,Снизилась,премиум,да,3.1,4,681,0.27,Косметика и аксесуары,1,5,6,7,4559.0,4830.5,5805.5,Активен,10,8
215701,Снизилась,стандарт,да,0.9,4,212,0.95,Домашний текстиль,2,5,4,2,4444.0,4685.5,5161.3,Активен,9,7
215702,Снизилась,стандарт,нет,1.7,4,188,0.89,Товары для детей,2,0,4,2,4546.0,5078.5,4860.1,Активен,8,7
215703,Снизилась,стандарт,нет,2.4,5,711,0.22,Косметика и аксесуары,2,6,2,6,4831.0,5111.5,5709.5,Активен,8,6
215704,Снизилась,стандарт,да,2.4,5,485,0.28,Товары для детей,3,0,3,2,4676.0,3695.0,3926.4,Активен,9,12
215705,Снизилась,премиум,нет,0.9,4,657,0.99,Домашний текстиль,2,4,2,5,4568.0,5055.5,5522.2,Активен,10,7
215706,Снизилась,стандарт,да,3.5,5,730,0.94,Товары для детей,2,3,7,6,4435.0,4762.0,5066.2,Активен,10,13
215707,Снизилась,премиум,да,3.4,5,484,0.21,Косметика и аксесуары,2,4,3,8,4838.0,5883.5,6121.4,Активен,9,4
215708,Снизилась,премиум,да,3.9,3,570,0.4,Кухонная посуда,3,8,2,3,4974.0,6085.5,6216.8,Активен,10,10
215709,Снизилась,стандарт,нет,4.6,5,352,0.89,Домашний текстиль,1,3,2,6,4755.0,5221.5,5606.3,Активен,12,10
215710,Снизилась,премиум,да,3.5,3,658,0.98,Товары для детей,3,0,2,5,4402.0,4052.0,3821.9,Активен,7,14
215711,Снизилась,премиум,да,2.4,5,1065,0.3,Косметика и аксесуары,3,5,1,4,4444.0,5251.0,4897.4,Активен,7,9
215712,Снизилась,премиум,да,3.5,4,794,0.93,Кухонная посуда,3,7,8,6,4668.0,5383.5,5955.5,Активен,12,10
215713,Снизилась,стандарт,да,4.6,5,293,0.24,Товары для детей,1,3,3,3,4872.0,4821.0,5221.4,Активен,12,14
215714,Снизилась,стандарт,да,3.8,5,694,0.4,Кухонная посуда,3,7,4,6,4864.0,5854.0,7063.0,Активен,13,9
215715,Снизилась,премиум,да,3.6,5,873,0.39,Товары для детей,3,2,2,5,4691.0,3716.0,4600.0,Активен,10,10
215716,Снизилась,стандарт,да,2.4,4,952,0.3,Техника для красоты и здоровья,3,5,2,3,4165.0,3067.0,3343.9,Активен,13,14
215717,Снизилась,стандарт,да,4.8,4,507,0.98,Косметика и аксесуары,2,0,4,3,4738.0,6320.5,6592.2,Активен,8,8
215718,Снизилась,стандарт,нет,3.1,5,447,0.25,Домашний текстиль,2,4,6,4,4217.0,5562.5,6220.3,Активен,8,9
215719,Снизилась,премиум,да,2.4,5,460,0.22,Косметика и аксесуары,1,6,8,4,4260.0,5361.0,6111.1,Активен,10,11
215720,Снизилась,премиум,да,3.9,4,449,0.4,Косметика и аксесуары,3,1,1,5,4727.0,5157.5,5188.7,Активен,8,7
215721,Снизилась,стандарт,да,3.9,4,906,0.33,Товары для детей,3,1,3,1,4513.0,4636.0,4447.5,Активен,6,10
215722,Снизилась,премиум,да,3.9,3,646,0.39,Косметика и аксесуары,3,1,6,7,4778.0,4782.5,5182.9,Активен,10,9
215723,Снизилась,премиум,да,3.8,4,444,0.94,Кухонная посуда,2,4,3,2,4964.0,5894.0,6081.2,Активен,8,11
215724,Снизилась,стандарт,нет,2.4,3,731,0.22,Домашний текстиль,3,3,3,4,4226.0,4395.5,4849.2,Активен,10,11
215725,Снизилась,стандарт,да,2.4,5,846,0.4,Товары для детей,2,4,4,5,4908.0,4995.0,5385.0,Активен,10,14
215726,Снизилась,стандарт,да,5.6,5,402,0.22,Мелкая бытовая техника и электроника,2,4,4,5,5008.0,5894.5,6271.5,Активен,8,7
215727,Снизилась,стандарт,да,4.4,4,598,0.39,Косметика и аксесуары,2,3,5,5,4622.0,5421.5,5339.6,Активен,9,12
215728,Снизилась,стандарт,нет,4.0,3,780,0.3,Косметика и аксесуары,4,0,2,6,4700.0,4652.0,4863.9,Активен,11,9
215729,Снизилась,стандарт,да,3.9,4,791,0.93,Кухонная посуда,4,0,2,5,4850.0,5313.5,5444.8,Активен,9,11
215730,Снизилась,стандарт,да,3.1,4,196,0.4,Мелкая бытовая техника и электроника,1,4,3,5,4460.0,4691.0,4275.0,Активен,10,8
215731,Снизилась,стандарт,да,3.5,4,800,0.22,Домашний текстиль,4,5,2,4,4652.0,4952.0,4651.7,Активен,9,11
215732,Снизилась,стандарт,нет,3.5,4,663,0.98,Косметика и аксесуары,3,6,4,3,4955.0,5810.0,5772.3,Активен,16,11
215733,Снизилась,стандарт,нет,4.0,4,482,0.24,Косметика и аксесуары,2,8,1,5,4262.0,4895.0,4874.2,Активен,9,14
215734,Снизилась,премиум,да,3.8,4,1051,0.22,Косметика и аксесуары,2,4,3,7,4607.0,5141.0,5299.6,Активен,5,11
215735,Снизилась,премиум,нет,4.6,4,511,0.99,Косметика и аксесуары,2,2,5,4,4488.0,6094.5,6747.1,Активен,11,9
215736,Снизилась,премиум,да,5.6,3,540,0.36,Косметика и аксесуары,2,4,2,8,4734.0,5049.0,5168.6,Активен,8,11
215737,Снизилась,стандарт,да,0.9,4,225,0.36,Косметика и аксесуары,2,4,2,3,4679.0,5126.0,5291.1,Активен,9,10
215738,Снизилась,премиум,нет,4.6,5,187,0.23,Мелкая бытовая техника и электроника,1,3,3,2,4500.0,4773.0,4445.4,Активен,9,7
215739,Снизилась,стандарт,нет,3.4,4,875,0.25,Мелкая бытовая техника и электроника,2,3,1,3,4258.0,5186.5,5156.6,Активен,9,9
215740,Снизилась,премиум,нет,3.5,4,769,0.3,Домашний текстиль,3,3,6,7,4774.0,6314.5,6321.0,Активен,13,7
215741,Снизилась,стандарт,да,4.8,4,563,0.94,Товары для детей,1,5,7,4,4809.0,3960.0,4594.4,Активен,10,14
215742,Снизилась,стандарт,да,4.6,4,373,0.25,Мелкая бытовая техника и электроника,2,2,2,5,4595.0,4916.0,5594.6,Активен,13,10
215743,Снизилась,премиум,да,4.1,4,375,0.32,Косметика и аксесуары,1,6,3,3,4332.0,5862.0,5985.5,Активен,11,8
215744,Снизилась,стандарт,да,1.7,5,439,0.31,Кухонная посуда,1,5,2,1,4370.0,5421.5,6016.9,Активен,6,9
215745,Снизилась,стандарт,да,1.7,4,550,0.94,Мелкая бытовая техника и электроника,4,1,3,6,4990.0,5654.5,6126.4,Активен,9,9
215746,Снизилась,премиум,да,4.4,4,987,0.35,Техника для красоты и здоровья,3,1,8,6,4932.0,3222.0,4169.7,Активен,10,9
215747,Снизилась,стандарт,да,3.5,5,452,0.93,Товары для детей,1,5,5,4,4168.0,3555.0,4089.3,Активен,10,10
215748,Прежний уровень,стандарт,нет,4.3,4,534,0.18,Кухонная посуда,3,1,4,10,4552.0,5083.0,5673.2,Активен,13,13
215749,Прежний уровень,премиум,да,5.8,5,624,0.3,Техника для красоты и здоровья,4,3,6,14,4928.0,5190.0,5092.5,Активен,14,17
215750,Прежний уровень,стандарт,да,4.8,5,634,0.21,Товары для детей,4,5,3,10,4730.0,3319.0,4672.3,Активен,13,14
215751,Прежний уровень,стандарт,да,4.1,4,957,0.17,Техника для красоты и здоровья,5,2,6,9,4769.0,5340.0,5021.5,Активен,14,12
215752,Прежний уровень,стандарт,нет,4.0,4,475,0.3,Мелкая бытовая техника и электроника,3,3,7,7,4635.0,5188.5,5798.2,Активен,13,8
215753,Прежний уровень,премиум,да,5.5,5,191,0.17,Косметика и аксесуары,6,0,4,8,4808.0,4395.5,4168.0,Активен,15,15
215754,Прежний уровень,премиум,да,4.6,3,937,0.14,Домашний текстиль,5,2,4,14,4752.0,5493.0,6265.2,Активен,7,12
215755,Прежний уровень,стандарт,да,4.4,4,216,0.18,Техника для красоты и здоровья,2,3,5,13,4814.0,4000.0,4835.9,Активен,19,7
215756,Прежний уровень,стандарт,нет,5.4,4,923,0.15,Кухонная посуда,2,1,6,10,4943.0,5205.5,5563.0,Активен,18,17
215757,Прежний уровень,стандарт,да,4.9,4,998,0.4,Товары для детей,3,0,2,8,4901.0,4664.0,4557.4,Активен,18,18
215758,Прежний уровень,премиум,да,5.7,5,486,0.15,Мелкая бытовая техника и электроника,4,4,4,9,5095.0,5836.0,6608.2,Активен,14,12
215759,Прежний уровень,премиум,да,3.6,5,589,0.21,Кухонная посуда,3,1,4,6,5329.0,5215.0,5246.2,Активен,20,12
215760,Прежний уровень,премиум,да,3.3,3,949,0.24,Техника для красоты и здоровья,3,2,4,6,5089.0,4989.0,5206.1,Активен,14,14
215761,Прежний уровень,стандарт,нет,5.7,4,565,0.14,Домашний текстиль,5,1,4,12,5023.0,4252.0,3713.8,Активен,12,18
215762,Прежний уровень,стандарт,да,5.3,5,822,0.28,Товары для детей,4,3,2,11,5337.0,4931.0,5413.3,Активен,18,12
215763,Прежний уровень,стандарт,нет,3.7,3,300,0.23,Мелкая бытовая техника и электроника,3,3,4,4,5228.0,6219.5,7208.8,Активен,12,14
215764,Прежний уровень,стандарт,да,4.0,4,539,0.11,Косметика и аксесуары,2,2,5,7,4359.0,5878.5,7325.4,Активен,15,5
215765,Прежний уровень,стандарт,нет,3.9,4,388,0.6,Косметика и аксесуары,4,0,4,8,4528.0,4834.0,5229.2,Активен,18,17
215766,Прежний уровень,стандарт,да,4.3,4,857,0.14,Кухонная посуда,2,1,6,4,4904.0,4850.0,4933.2,Активен,12,20
215767,Прежний уровень,премиум,да,4.1,4,316,0.12,Товары для детей,2,3,4,6,5282.0,4729.0,4379.3,Активен,14,18
215768,Прежний уровень,стандарт,да,4.7,5,744,0.28,Техника для красоты и здоровья,4,0,5,9,4921.0,4081.0,4939.0,Активен,17,9
215769,Прежний уровень,стандарт,нет,3.6,3,553,0.23,Домашний текстиль,5,3,3,10,4495.0,4976.5,5523.8,Активен,12,9
215770,Прежний уровень,стандарт,да,5.4,5,749,0.14,Товары для детей,5,2,4,9,5175.0,5298.0,5321.4,Активен,20,14
215771,Прежний уровень,стандарт,да,5.6,4,272,0.17,Косметика и аксесуары,4,3,4,6,5060.0,5139.5,5338.4,Активен,13,22
215772,Прежний уровень,стандарт,да,4.6,4,321,0.23,Товары для детей,4,2,4,12,4802.0,3763.0,4793.9,Активен,15,17
215773,Прежний уровень,стандарт,да,5.1,5,831,0.12,Косметика и аксесуары,2,1,3,10,5103.0,4515.0,4135.4,Активен,13,16
215774,Прежний уровень,стандарт,да,5.4,3,657,0.11,Техника для красоты и здоровья,2,4,2,9,5542.0,5719.0,5695.6,Активен,16,16
215775,Прежний уровень,стандарт,нет,5.0,4,157,0.15,Мелкая бытовая техника и электроника,5,0,5,13,4934.0,4028.0,3372.8,Активен,19,16
215776,Прежний уровень,стандарт,нет,4.4,4,467,0.15,Техника для красоты и здоровья,2,2,2,10,4712.0,4388.0,4798.8,Активен,15,11
215777,Прежний уровень,премиум,да,4.4,4,849,0.28,Товары для детей,6,2,3,13,4908.0,4670.0,5006.7,Активен,14,20
215778,Прежний уровень,стандарт,да,4.3,4,609,0.24,Товары для детей,4,3,5,15,5364.0,4911.0,5433.6,Активен,20,19
215779,Прежний уровень,премиум,да,4.3,3,242,0.16,Техника для красоты и здоровья,4,5,2,11,5142.0,5949.0,5379.6,Активен,19,15
215780,Прежний уровень,премиум,да,4.1,3,728,0.28,Косметика и аксесуары,4,1,2,5,4950.0,5404.5,5928.4,Активен,12,21
215781,Прежний уровень,премиум,да,4.4,5,937,0.17,Кухонная посуда,5,1,8,6,4900.0,5029.0,5270.8,Активен,14,16
215782,Прежний уровень,стандарт,да,5.2,3,457,0.17,Товары для детей,4,1,5,5,5624.0,5597.0,5750.4,Активен,12,10
215783,Прежний уровень,стандарт,нет,5.5,3,159,0.25,Домашний текстиль,5,3,3,12,4671.0,4626.0,4717.0,Активен,21,8
215784,Прежний уровень,стандарт,да,3.4,4,207,0.3,Домашний текстиль,6,5,4,14,4903.0,4165.0,3655.4,Активен,21,14
215785,Прежний уровень,премиум,да,4.9,4,899,0.24,Домашний текстиль,4,4,2,17,5045.0,5294.0,5639.8,Активен,17,16
215786,Прежний уровень,премиум,да,3.4,4,834,0.13,Техника для красоты и здоровья,3,1,3,7,4529.0,3965.0,4583.8,Активен,11,8
215787,Прежний уровень,стандарт,да,5.3,4,808,0.23,Косметика и аксесуары,3,0,5,7,5261.0,5282.0,5430.2,Активен,13,14
215788,Прежний уровень,стандарт,да,3.3,4,205,0.13,Домашний текстиль,3,2,4,7,5364.0,5341.5,5452.0,Активен,17,19
215789,Прежний уровень,премиум,да,3.6,3,985,0.26,Мелкая бытовая техника и электроника,5,2,8,5,4908.0,5766.0,6639.6,Активен,16,20
215790,Прежний уровень,премиум,да,4.9,3,400,0.13,Мелкая бытовая техника и электроника,2,4,4,12,4897.0,5602.0,6343.0,Активен,10,16
215791,Прежний уровень,премиум,да,5.5,5,634,0.14,Домашний текстиль,3,5,3,11,5095.0,5872.0,6675.4,Активен,15,6
215792,Прежний уровень,стандарт,да,4.1,4,529,0.14,Товары для детей,4,5,7,13,5012.0,5391.0,5192.1,Активен,17,17
215793,Прежний уровень,премиум,да,4.3,4,855,0.16,Домашний текстиль,5,4,2,7,4530.0,5067.0,5662.4,Активен,14,16
215794,Прежний уровень,премиум,да,5.5,4,597,0.15,Косметика и аксесуары,3,4,3,8,4964.0,6045.5,7112.8,Активен,16,18
215795,Прежний уровень,премиум,да,3.9,3,1061,0.16,Мелкая бытовая техника и электроника,3,1,8,8,4583.0,5055.5,5595.0,Активен,12,19
215796,Снизилась,стандарт,нет,6.3,4,527,0.21,Домашний текстиль,5,2,5,10,4802.0,4582.0,4903.1,Активен,16,16
215797,Снизилась,стандарт,нет,4.9,3,414,0.94,Домашний текстиль,6,1,4,7,4550.0,3926.0,4596.8,Активен,14,17
215798,Снизилась,стандарт,да,4.3,5,623,0.24,Мелкая бытовая техника и электроника,2,2,8,12,4883.0,4656.5,4590.2,Активен,15,16
215799,Снизилась,премиум,да,4.3,5,1022,0.28,Техника для красоты и здоровья,4,1,4,9,4648.0,3798.0,4665.1,Активен,11,16
215800,Снизилась,стандарт,да,4.4,4,978,0.28,Кухонная посуда,2,0,3,5,5036.0,5439.5,5919.2,Активен,11,14
215801,Снизилась,стандарт,да,4.0,5,479,0.94,Кухонная посуда,4,4,4,14,4570.0,5345.5,6147.6,Активен,12,9
215802,Снизилась,стандарт,да,3.4,4,698,0.16,Кухонная посуда,4,3,4,11,5154.0,4955.0,5257.9,Активен,11,20
215803,Снизилась,стандарт,да,3.8,4,670,0.28,Товары для детей,4,4,7,9,5273.0,5601.5,6016.2,Активен,9,22
215804,Снизилась,стандарт,да,3.3,5,673,0.99,Товары для детей,3,2,1,7,4877.0,5238.5,5681.8,Активен,17,14
215805,Снизилась,стандарт,нет,4.1,4,808,0.15,Мелкая бытовая техника и электроника,4,2,3,13,4691.0,4126.0,4746.1,Активен,12,16
215806,Снизилась,стандарт,нет,5.8,3,660,0.16,Товары для детей,4,1,3,12,4507.0,4787.5,5160.6,Активен,16,7
215807,Снизилась,стандарт,да,5.5,5,503,0.2,Домашний текстиль,5,5,2,6,5601.0,4914.0,4448.6,Активен,14,18
215808,Снизилась,стандарт,да,4.0,4,417,0.25,Товары для детей,5,5,5,11,4353.0,3327.0,4346.2,Активен,17,5
215809,Снизилась,премиум,да,3.9,3,208,0.24,Косметика и аксесуары,5,2,4,8,4997.0,4607.0,4399.0,Активен,19,13
215810,Снизилась,стандарт,нет,4.4,4,417,0.23,Товары для детей,3,0,6,10,4663.0,5515.0,6383.4,Активен,16,10
215811,Снизилась,премиум,да,3.2,5,786,0.25,Косметика и аксесуары,4,0,8,14,5210.0,4553.0,4113.6,Активен,23,21
215812,Снизилась,стандарт,нет,3.3,3,563,0.12,Домашний текстиль,4,1,5,16,4439.0,5831.0,7167.4,Активен,9,10
215813,Снизилась,стандарт,да,3.6,5,446,0.17,Домашний текстиль,6,2,4,12,5051.0,5034.5,5150.2,Активен,15,20
215814,Снизилась,премиум,да,3.6,4,296,0.15,Домашний текстиль,3,5,2,15,4733.0,5132.0,5555.8,Активен,19,10
215815,Снизилась,стандарт,да,4.9,5,339,0.24,Косметика и аксесуары,3,2,4,12,4735.0,5459.5,6217.4,Активен,13,11
215816,Снизилась,стандарт,нет,5.7,5,495,0.25,Косметика и аксесуары,4,3,4,3,5201.0,4917.5,4801.8,Активен,12,19
215817,Снизилась,стандарт,да,3.3,4,320,0.28,Домашний текстиль,5,4,3,13,5444.0,5945.0,6509.2,Активен,16,10
215818,Снизилась,стандарт,да,4.6,5,121,0.3,Кухонная посуда,4,5,3,11,4416.0,3623.0,4440.7,Активен,16,13
215819,Снизилась,стандарт,нет,3.2,3,609,0.29,Товары для детей,5,3,2,11,4869.0,4193.0,4909.3,Активен,10,9
215820,Снизилась,стандарт,да,4.0,4,955,0.95,Товары для детей,4,4,7,11,5324.0,4353.5,3642.4,Активен,18,14
215821,Снизилась,стандарт,да,4.7,5,508,0.28,Косметика и аксесуары,4,3,5,9,5017.0,5989.0,6961.4,Активен,20,15
215822,Снизилась,премиум,да,4.4,4,633,0.14,Товары для детей,3,4,2,17,4928.0,4036.0,4939.5,Активен,14,15
215823,Снизилась,стандарт,нет,5.0,5,234,0.23,Техника для красоты и здоровья,5,1,7,13,5600.0,5153.0,4895.6,Активен,21,15
215824,Снизилась,стандарт,нет,3.9,5,852,0.21,Косметика и аксесуары,3,0,2,7,4781.0,4950.5,5227.4,Активен,15,12
215825,Снизилась,премиум,да,4.3,4,951,0.2,Домашний текстиль,3,3,4,10,5053.0,5063.5,5202.6,Активен,17,15
215826,Снизилась,стандарт,да,4.6,4,177,0.24,Косметика и аксесуары,3,2,7,14,5073.0,4999.0,5192.7,Активен,17,20
215827,Снизилась,стандарт,да,4.6,3,641,0.3,Косметика и аксесуары,4,1,5,6,4900.0,5108.5,5419.2,Активен,21,11
215828,Снизилась,стандарт,да,5.3,4,191,0.3,Товары для детей,4,4,3,16,5240.0,4405.0,5259.1,Активен,10,14
215829,Снизилась,стандарт,да,4.9,4,600,0.13,Товары для детей,4,4,5,7,4633.0,5636.5,6636.2,Активен,14,19
215830,Снизилась,стандарт,да,5.1,5,185,0.18,Кухонная посуда,4,5,5,14,5311.0,4432.0,5323.8,Активен,19,8
215831,Снизилась,премиум,да,4.1,3,1030,0.23,Домашний текстиль,4,2,6,4,4572.0,4653.0,4712.8,Активен,17,18
215832,Снизилась,стандарт,нет,4.1,3,206,0.99,Товары для детей,4,4,3,4,4662.0,5065.5,5545.2,Активен,14,10
215833,Снизилась,стандарт,да,4.8,4,410,0.17,Домашний текстиль,6,2,7,9,5204.0,5919.0,5428.9,Активен,14,19
215834,Снизилась,премиум,да,3.8,4,629,0.14,Техника для красоты и здоровья,4,1,7,16,4635.0,5068.5,5574.2,Активен,15,13
215835,Снизилась,стандарт,да,3.5,3,370,0.25,Товары для детей,2,2,4,9,5213.0,4862.0,4687.8,Активен,21,14
215836,Снизилась,стандарт,да,4.8,4,823,0.13,Техника для красоты и здоровья,2,4,5,7,4992.0,5169.0,5452.4,Активен,12,10
215837,Снизилась,премиум,да,4.9,3,888,0.14,Техника для красоты и здоровья,3,1,6,9,5268.0,4893.0,4698.0,Активен,15,18
215838,Снизилась,стандарт,нет,6.3,4,582,0.14,Косметика и аксесуары,5,1,6,13,4932.0,5193.0,5549.2,Активен,17,13
215839,Снизилась,премиум,да,2.6,4,1048,0.14,Техника для красоты и здоровья,3,0,2,12,4582.0,4987.0,5468.0,Активен,13,13
215840,Снизилась,стандарт,да,3.9,5,869,0.24,Кухонная посуда,5,1,4,11,5351.0,5280.5,5349.4,Активен,17,22
215841,Снизилась,стандарт,да,6.3,4,320,0.12,Мелкая бытовая техника и электроника,5,4,4,10,5621.0,6588.5,7557.0,Активен,9,12
215842,Снизилась,премиум,да,4.3,3,1036,0.94,Товары для детей,4,2,3,9,4642.0,4408.0,4740.8,Активен,8,10
215843,Снизилась,стандарт,да,5.5,3,930,0.14,Техника для красоты и здоровья,5,1,6,10,4579.0,5201.5,5871.0,Активен,14,9
215844,Снизилась,премиум,да,4.3,4,1041,0.99,Кухонная посуда,4,1,6,6,4880.0,5339.0,5866.8,Активен,9,14
215845,Снизилась,стандарт,да,4.7,4,608,0.95,Техника для красоты и здоровья,5,1,2,10,5120.0,5514.5,5986.4,Активен,10,18
215846,Прежний уровень,стандарт,нет,5.7,4,169,0.14,Техника для красоты и здоровья,2,1,4,12,4956.0,5419.0,5147.3,Активен,17,14
215847,Прежний уровень,стандарт,да,4.7,5,966,0.15,Товары для детей,3,1,8,15,4700.0,4312.0,4778.7,Активен,18,8
215848,Прежний уровень,премиум,да,5.4,5,645,0.28,Мелкая бытовая техника и электроника,3,3,4,10,4952.0,5496.5,6098.4,Активен,18,11
215849,Прежний уровень,стандарт,да,4.9,4,399,0.25,Товары для детей,4,3,3,5,4453.0,4307.0,4563.1,Активен,18,15
215850,Прежний уровень,стандарт,да,5.4,4,267,0.15,Техника для красоты и здоровья,5,1,1,7,4783.0,4009.0,4809.8,Активен,19,16
215851,Прежний уровень,стандарт,да,4.1,4,530,0.26,Домашний текстиль,2,5,4,13,5316.0,4903.5,4676.0,Активен,17,11
215852,Прежний уровень,стандарт,да,5.8,3,478,0.24,Домашний текстиль,5,5,4,8,4837.0,5629.0,6445.4,Активен,14,7
215853,Прежний уровень,премиум,да,3.3,4,890,0.11,Косметика и аксесуары,4,1,3,11,4865.0,5204.0,5627.8,Активен,7,14
215854,Прежний уровень,стандарт,нет,6.6,3,830,0.14,Товары для детей,3,0,6,10,4953.0,4077.0,4966.2,Активен,12,8
215855,Прежний уровень,стандарт,да,5.5,5,149,0.2,Кухонная посуда,3,2,6,6,4682.0,5634.5,6590.0,Активен,21,8
215856,Прежний уровень,стандарт,да,4.3,4,543,0.17,Техника для красоты и здоровья,6,3,5,11,4376.0,3652.0,4409.9,Активен,13,20
215857,Прежний уровень,премиум,да,4.3,4,667,0.28,Мелкая бытовая техника и электроника,3,0,4,13,5009.0,4074.5,3394.6,Активен,19,14
215858,Прежний уровень,стандарт,да,5.5,4,510,0.15,Мелкая бытовая техника и электроника,2,4,7,16,4347.0,5170.5,6014.2,Активен,20,6
215859,Прежний уровень,премиум,да,4.4,3,1049,0.14,Товары для детей,3,2,3,11,4792.0,5110.0,4964.4,Активен,14,23
215860,Прежний уровень,стандарт,да,5.5,5,242,0.21,Кухонная посуда,5,4,4,11,4614.0,4204.5,3979.6,Активен,18,19
215861,Прежний уровень,стандарт,да,4.5,4,908,0.13,Товары для детей,5,4,5,7,4904.0,4664.0,5002.0,Активен,8,14
215862,Прежний уровень,стандарт,да,5.8,4,408,0.16,Мелкая бытовая техника и электроника,4,2,3,12,5222.0,5330.0,5553.6,Активен,12,21
215863,Прежний уровень,стандарт,нет,4.6,4,900,0.16,Мелкая бытовая техника и электроника,5,0,8,8,4985.0,4862.0,4885.4,Активен,18,20
215864,Прежний уровень,стандарт,да,5.8,4,490,0.16,Мелкая бытовая техника и электроника,2,4,5,16,4774.0,4978.0,5284.8,Активен,11,12
215865,Прежний уровень,стандарт,нет,4.3,5,401,0.28,Техника для красоты и здоровья,5,0,4,10,5388.0,5051.0,5473.5,Активен,11,11
215866,Прежний уровень,стандарт,да,3.3,4,945,0.24,Домашний текстиль,3,3,4,13,4852.0,4726.0,4746.8,Активен,17,20
215867,Прежний уровень,стандарт,да,5.4,4,777,0.25,Техника для красоты и здоровья,2,3,6,14,5313.0,5141.0,5420.5,Активен,13,14
215868,Прежний уровень,стандарт,да,4.9,5,851,0.11,Косметика и аксесуары,3,0,4,9,5265.0,5149.5,5179.4,Активен,17,16
215869,Прежний уровень,стандарт,да,5.4,4,559,0.17,Домашний текстиль,5,5,5,12,4370.0,4965.5,5611.6,Активен,16,19
215870,Прежний уровень,стандарт,да,5.7,4,803,0.25,Домашний текстиль,5,4,6,5,4795.0,4345.0,4085.0,Активен,18,11
215871,Прежний уровень,премиум,нет,4.8,3,675,0.11,Кухонная посуда,2,1,7,4,5468.0,5228.0,5150.0,Активен,14,21
215872,Прежний уровень,стандарт,нет,5.1,4,490,0.17,Домашний текстиль,3,4,5,14,4864.0,6139.0,7374.0,Активен,16,7
215873,Прежний уровень,стандарт,да,4.2,4,769,0.11,Товары для детей,6,1,2,11,5041.0,4526.0,5101.9,Активен,16,17
215874,Прежний уровень,стандарт,да,4.1,5,626,0.15,Техника для красоты и здоровья,4,2,4,16,5173.0,3753.0,5111.5,Активен,14,13
215875,Прежний уровень,стандарт,нет,4.7,4,203,0.28,Косметика и аксесуары,3,2,6,10,5139.0,4651.5,4359.0,Активен,9,18
215876,Прежний уровень,премиум,да,3.8,4,280,0.32,Косметика и аксесуары,3,4,5,12,5122.0,6116.5,7108.4,Активен,14,14
215877,Прежний уровень,стандарт,да,4.1,4,349,0.17,Мелкая бытовая техника и электроника,6,5,4,9,4665.0,4324.5,4159.4,Активен,16,19
215878,Прежний уровень,стандарт,да,4.4,5,540,0.25,Товары для детей,3,2,1,12,5494.0,5938.0,5683.2,Активен,13,10
215879,Прежний уровень,стандарт,нет,5.3,4,476,0.3,Техника для красоты и здоровья,2,0,7,8,5596.0,6499.0,5846.4,Активен,22,13
215880,Прежний уровень,премиум,да,4.3,5,897,0.3,Мелкая бытовая техника и электроника,4,4,2,11,4555.0,4228.0,4074.6,Активен,15,11
215881,Прежний уровень,стандарт,да,5.1,3,709,0.3,Товары для детей,5,1,6,9,4786.0,5084.0,4955.3,Активен,17,13
